ID,MARCA,MODELLO,TIPOLOGIA,LAVORO,LpA dB(A),LWA dB(A),URL
28693,MAKITA,BTD130,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  1.4 kg                  Alimentazione:  Batteria 12V-36V    
            
        	        Norma di riferimento: CEI EN 60745-1 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                    CEI EN 60745-1                
                
                Prescrizioni generali -  Sicurezza degli utensili elettrici a motore portatili – Parte 1:            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        90 ±3 dB101 ±3 dB
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=28693
28692,MAKITA,BTD062,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  1.2 kg                  Alimentazione:  Batteria 7,2V-10,8V    
            
        	        Norma di riferimento: CEI EN 60745-1 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                    CEI EN 60745-1                
                
                Prescrizioni generali -  Sicurezza degli utensili elettrici a motore portatili – Parte 1:            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        90 ±3 dB101 ±3 dB
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=28692
1204,ATLAS COPCO,EP6CMR 42/B,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  1.1 kg                  Alimentazione:  Pneumatica    
            
        	        Norma di riferimento:  NON IDENTIFICATA 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                     NON IDENTIFICATA                
                
                            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        70 dB dB
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=1204
28691,MAKITA,BTD060,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  1 kg                  Alimentazione:  Batteria 7,2V-10,8V    
            
        	        Norma di riferimento: CEI EN 60745-1 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                    CEI EN 60745-1                
                
                Prescrizioni generali -  Sicurezza degli utensili elettrici a motore portatili – Parte 1:            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        90 ±3 dB101 ±3 dBSerraggio ad impulsi degli elementi di fissaggio alla capacità massima dell'utensile
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=28691
1228,ATLAS COPCO,LUM 21 HR23 - U,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  0.96 kg                  Alimentazione:  Pneumatica    
            
        	        Norma di riferimento:  NON IDENTIFICATA 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                     NON IDENTIFICATA                
                
                            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        76 dB dB
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=1228
1254,SPIT,SDI 96,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=1254
28687,MAKITA,BFT122F,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  1.4 kg                  Alimentazione:  Batteria 7,2V-10,8V    
            
        	        Norma di riferimento: CEI EN 60745-1 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                    CEI EN 60745-1                
                
                Prescrizioni generali -  Sicurezza degli utensili elettrici a motore portatili – Parte 1:            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        70 ±3 dB dB
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=28687
27663,"Hitachi Koki Co., Ltd",DS12DVB2,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  1.9 kg                  Alimentazione:  Batteria 12V-36V    
            
        	        Norma di riferimento: CEI EN 60745-1 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                    CEI EN 60745-1                
                
                Prescrizioni generali -  Sicurezza degli utensili elettrici a motore portatili – Parte 1:            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        71 ±3 dB82 ±3 dB
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=27663
28684,MAKITA,BFT081F,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  1.5 kg                  Alimentazione:  Batteria 12V-36V    
            
        	        Norma di riferimento: CEI EN 60745-1 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                    CEI EN 60745-1                
                
                Prescrizioni generali -  Sicurezza degli utensili elettrici a motore portatili – Parte 1:            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        70 ±3 dB dB
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=28684
28683,MAKITA,BFT080F,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  1.4 kg                  Alimentazione:  Batteria 7,2V-10,8V    
            
        	        Norma di riferimento: CEI EN 60745-1 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                    CEI EN 60745-1                
                
                Prescrizioni generali -  Sicurezza degli utensili elettrici a motore portatili – Parte 1:            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        70 ±3 dB dB
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=28683
